FIPS,2014 RPL_THEME4,2015 RPL_THEME4,2016 RPL_THEME4,2017 RPL_THEME4,2018 RPL_THEME4,2019 RPL_THEME4,2020 RPL_THEME4
01001,51.0,39.9,28.81,33.11,37.41,40.25,43.09
01003,32.38,32.81,33.24,33.41,33.59,34.86,36.12
01005,90.89,92.01,93.12,96.01,98.89,99.19,99.49
01007,41.52,54.08,66.63,69.26,71.89,79.05,86.22
01009,15.63,16.95,18.27,17.84,17.41,22.42,27.43
01011,98.66,85.05,71.44,73.97,76.5,80.76,85.01
01013,43.97,49.38,54.79,58.69,62.59,46.2,29.82
01015,48.39,55.98,63.58,64.25,64.92,58.44,51.97
01017,89.02,87.49,85.96,82.7,79.43,87.71,95.99
01019,34.64,29.91,25.18,26.3,27.41,22.67,17.92
01021,44.19,45.05,45.91,41.14,36.36,35.49,34.63
01023,52.37,56.21,60.04,58.9,57.75,46.5,35.26
01025,67.91,70.34,72.78,73.11,73.45,70.7,67.95
01027,62.18,39.57,16.97,16.38,15.79,21.98,28.17
01029,44.44,37.77,31.1,20.55,10.0,19.9,29.79
01031,10.09,13.16,16.24,17.74,19.23,23.68,28.13
01033,19.13,15.44,11.75,11.0,10.25,8.93,7.61
01035,54.03,46.5,38.97,30.14,21.3,24.06,26.83
01037,56.96,58.26,59.57,44.35,29.13,42.04,54.96
01039,39.35,33.68,28.02,37.52,47.02,52.1,57.19
01041,14.23,17.26,20.28,21.9,23.53,30.64,37.75
01043,44.22,39.76,35.31,37.38,39.45,39.18,38.92
01045,45.18,45.45,45.72,45.61,45.5,40.02,34.53
01047,84.24,85.07,85.9,84.91,83.92,71.48,59.04
01049,44.67,41.24,37.82,42.8,47.79,50.06,52.32
01051,45.21,46.61,48.01,49.89,51.77,53.54,55.32
01053,68.19,68.54,68.9,63.64,58.39,60.04,61.68
01055,51.64,46.04,40.43,34.74,29.04,28.68,28.33
01057,64.47,65.4,66.32,60.43,54.54,53.42,52.29
01059,68.86,63.1,57.34,55.04,52.75,50.92,49.08
01061,38.4,34.66,30.91,29.04,27.16,26.42,25.68
01063,94.97,95.48,95.99,95.76,95.54,92.31,89.08
01065,90.26,93.5,96.75,95.11,93.47,88.08,82.69
01067,29.77,31.0,32.22,29.67,27.13,36.91,46.69
01069,31.36,33.06,34.77,34.89,35.02,37.15,39.27
01071,28.46,28.9,29.35,30.83,32.31,32.46,32.62
01073,62.24,61.65,61.06,61.58,62.11,62.39,62.67
01075,54.86,36.21,17.57,25.04,32.51,47.86,63.21
01077,44.16,51.42,58.68,57.45,56.22,55.31,54.39
01079,9.58,11.97,14.36,17.32,20.28,19.6,18.91
01081,85.8,86.32,86.85,89.5,92.14,93.28,94.43
01083,50.65,52.37,54.09,49.65,45.21,47.02,48.82
01085,68.0,52.6,37.19,43.36,49.54,50.09,50.64
01087,98.06,95.24,92.42,91.96,91.5,92.84,94.18
01089,40.97,38.4,35.82,37.09,38.36,35.57,32.78
01091,59.63,59.87,60.11,50.5,40.88,42.16,43.44
01093,53.77,46.2,38.62,40.35,42.09,46.04,50.0
01095,49.67,44.64,39.61,35.55,31.49,27.82,24.16
01097,76.09,75.47,74.85,73.58,72.3,70.49,68.68
01099,43.08,42.0,40.91,39.1,37.28,36.72,36.16
01101,71.79,72.81,73.83,74.23,74.63,76.74,78.84
01103,56.19,53.1,50.02,53.89,57.75,51.04,44.33
01105,99.97,99.97,99.97,99.68,99.4,86.27,73.14
01107,76.79,82.28,87.77,84.7,81.63,82.1,82.56
01109,94.49,95.11,95.73,94.03,92.33,89.82,87.3
01111,80.29,80.53,80.77,81.17,81.57,70.66,59.74
01113,71.73,75.63,79.53,78.6,77.68,68.1,58.53
01115,40.34,32.22,24.1,24.56,25.02,29.87,34.72
01117,16.84,16.5,16.17,16.9,17.64,16.44,15.25
01119,99.87,98.58,97.29,97.98,98.66,97.98,97.29
01121,87.71,84.22,80.74,80.3,79.85,80.3,80.74
01123,88.79,89.38,89.97,88.41,86.85,87.62,88.38
01125,89.78,90.55,91.31,86.1,80.9,81.2,81.51
01127,35.88,36.85,37.82,41.37,44.92,43.92,42.93
01129,8.53,10.52,12.51,19.08,25.66,21.02,16.39
01131,70.2,64.09,57.98,59.87,61.76,61.34,60.92
01133,41.2,46.53,51.86,51.35,50.84,46.68,42.52
02013,94.3,92.76,91.21,92.36,93.51,94.64,95.77
02016,99.43,99.49,99.55,99.55,99.55,99.55,99.55
02020,82.9,80.74,78.57,80.16,81.76,80.92,80.08
02050,86.44,89.12,91.79,93.28,94.78,95.4,96.02
02060,52.5,68.26,84.02,86.36,88.7,88.51,88.32
02063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02068,62.78,62.39,61.99,58.68,55.36,72.26,89.15
02070,77.49,82.82,88.16,89.54,90.93,92.4,93.86
02090,84.5,83.52,82.55,78.92,75.29,77.65,80.01
02100,65.97,68.78,71.6,59.9,48.2,45.86,43.51
02105,77.46,78.53,79.59,78.76,77.94,81.03,84.12
02110,94.84,92.16,89.49,91.36,93.22,90.88,88.54
02122,64.63,68.75,72.87,73.45,74.02,69.42,64.83
02130,92.01,91.94,91.88,92.15,92.42,93.17,93.92
02150,88.0,85.7,83.41,89.38,95.35,96.18,97.01
02158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02164,46.1,58.04,69.98,70.96,71.95,73.72,75.49
02170,24.51,26.09,27.67,26.94,26.2,27.9,29.6
02180,91.21,89.56,87.9,89.46,91.02,90.94,90.87
02185,99.14,99.2,99.27,99.26,99.24,99.27,99.3
02188,91.98,92.8,93.63,95.1,96.56,97.02,97.49
02195,84.21,89.42,94.62,93.81,93.0,86.89,80.78
02198,92.65,91.22,89.78,89.6,89.43,92.18,94.94
02220,95.54,96.44,97.33,95.75,94.17,91.8,89.43
02230,93.22,93.6,93.98,87.56,81.15,70.51,59.87
02240,82.97,82.11,81.25,76.92,72.59,74.59,76.58
02275,78.54,83.18,87.81,84.16,80.52,69.34,58.15
02282,97.1,98.17,99.24,97.68,96.12,92.76,89.4
02290,37.66,50.81,63.96,70.79,77.62,79.31,81.0
04001,90.7,90.51,90.32,90.75,91.18,91.3,91.41
04003,98.54,98.43,98.31,95.96,93.6,94.72,95.83
04005,99.01,98.6,98.19,97.66,97.13,97.8,98.47
04007,87.11,83.4,79.69,73.29,66.89,70.53,74.16
04009,97.29,97.92,98.54,98.54,98.54,97.66,96.79
04011,51.29,45.12,38.94,37.16,35.37,36.08,36.79
04012,83.57,83.97,84.37,79.76,75.14,73.77,72.41
04013,72.97,72.86,72.75,72.67,72.59,71.24,69.89
04015,91.91,93.52,95.13,90.12,85.1,85.4,85.71
04017,95.48,94.81,94.14,95.16,96.18,95.58,94.97
04019,97.48,97.69,97.9,98.08,98.25,97.94,97.64
04021,78.86,80.31,81.76,82.23,82.71,82.92,83.13
04023,51.77,48.71,45.65,45.06,44.48,43.06,41.63
04025,70.01,67.32,64.63,61.27,57.91,59.11,60.31
04027,98.73,98.66,98.6,98.28,97.96,97.23,96.5
05001,41.36,44.24,47.12,50.4,53.68,59.8,65.91
05003,34.19,33.92,33.65,41.32,49.0,41.94,34.88
05005,20.18,21.6,23.02,27.3,31.58,31.04,30.49
05007,26.71,26.44,26.17,28.76,31.36,32.72,34.09
05009,50.14,51.68,53.23,49.61,46.0,34.95,23.9
05011,96.34,95.6,94.87,92.06,89.24,77.05,64.86
05013,26.52,27.8,29.07,33.27,37.47,34.1,30.74
05015,27.79,39.4,51.0,51.7,52.4,57.39,62.38
05017,99.59,99.4,99.2,98.92,98.63,98.74,98.85
05019,83.25,90.05,96.85,97.24,97.64,98.5,99.36
05021,19.74,24.72,29.7,29.52,29.35,22.6,15.85
05023,19.42,20.92,22.41,15.68,8.95,13.76,18.56
05025,12.13,13.02,13.91,17.14,20.38,17.97,15.56
05027,97.42,95.76,94.11,94.74,95.38,93.44,91.5
05029,51.96,51.92,51.89,52.91,53.93,55.13,56.33
05031,80.01,82.78,85.55,88.06,90.58,84.16,77.75
05033,32.6,33.3,34.0,31.76,29.51,33.02,36.54
