FIPS,2014 RPL_THEME3,2015 RPL_THEME3,2016 RPL_THEME3,2017 RPL_THEME3,2018 RPL_THEME3,2019 RPL_THEME3,2020 RPL_THEME3
04007,79.21,79.97,80.74,80.84,80.93,79.06,77.18
04009,90.61,90.69,90.77,89.9,89.02,88.13,87.24
04011,89.43,89.64,89.84,90.67,91.5,90.36,89.21
04012,90.96,91.36,91.75,91.13,90.51,86.18,81.86
04013,92.42,92.42,92.42,92.58,92.74,88.72,84.69
04015,72.68,72.5,72.33,71.57,70.81,65.39,59.96
04017,94.14,94.19,94.24,93.82,93.41,92.6,91.79
04019,92.1,92.22,92.33,92.55,92.77,89.94,87.11
04021,89.78,89.84,89.91,89.76,89.62,86.24,82.85
04023,99.62,99.56,99.49,99.54,99.59,99.18,98.76
04025,68.58,68.58,68.58,67.33,66.09,60.45,54.81
04027,98.89,98.94,98.98,98.98,98.98,97.6,96.21
05001,62.56,55.21,47.85,42.5,37.15,53.4,69.64
05003,68.99,68.3,67.62,70.88,74.15,72.4,70.66
05005,17.57,17.3,17.03,12.16,7.29,13.16,19.03
05007,80.74,80.14,79.53,80.2,80.87,74.46,68.05
05009,9.61,8.54,7.48,6.93,6.37,11.46,16.55
05011,87.87,88.62,89.37,89.4,89.43,86.56,83.7
05013,30.56,30.26,29.96,30.58,31.2,48.32,65.44
05015,76.03,76.92,77.81,77.97,78.13,67.73,57.32
05017,76.35,78.22,80.1,81.4,82.71,87.94,93.16
05019,57.18,59.26,61.35,62.43,63.51,66.89,70.27
05021,19.29,13.32,7.35,6.4,5.44,7.6,9.77
05023,22.64,17.0,11.37,7.77,4.17,9.93,15.69
05025,30.28,38.86,47.44,42.87,38.3,42.66,47.01
05027,58.01,65.42,72.84,72.57,72.3,76.17,80.04
05029,47.66,50.07,52.47,54.34,56.22,54.48,52.74
05031,56.77,57.72,58.68,59.65,60.62,61.57,62.51
05033,61.7,59.51,57.31,57.58,57.85,53.2,48.54
05035,53.65,59.82,66.0,66.57,67.14,79.53,91.92
05037,39.7,40.4,41.1,38.11,35.12,50.2,65.28
05039,75.61,75.4,75.2,72.89,70.58,78.24,85.9
05041,85.04,86.0,86.95,89.1,91.24,90.67,90.1
05043,60.43,51.77,43.11,41.1,39.1,55.74,72.37
05045,49.28,46.92,44.57,48.5,52.44,53.92,55.41
05047,23.3,27.12,30.95,28.86,26.77,27.28,27.78
05049,8.34,13.62,18.91,18.16,17.41,14.61,11.81
05051,56.13,56.48,56.83,58.66,60.49,56.55,52.61
05053,19.48,16.49,13.5,13.14,12.77,17.76,22.76
05055,10.09,9.58,9.07,12.11,15.15,20.86,26.58
05057,91.91,92.07,92.23,91.82,91.4,88.2,85.01
05059,42.85,42.47,42.09,41.26,40.43,45.9,51.37
05061,86.37,86.46,86.56,86.44,86.31,80.73,75.14
05063,55.46,53.99,52.53,54.02,55.52,46.86,38.19
05065,12.35,8.24,4.14,7.99,11.84,23.02,34.21
05067,33.21,35.34,37.47,33.06,28.65,44.5,60.34
05069,60.9,61.82,62.75,63.66,64.57,78.97,93.38
05071,70.71,72.03,73.35,74.91,76.47,66.52,56.56
05073,52.88,48.26,43.65,48.36,53.07,66.86,80.65
05075,4.58,7.45,10.32,9.66,9.01,12.78,16.55
05077,65.07,57.03,49.0,62.99,76.98,84.53,92.08
05079,43.2,55.46,67.72,65.81,63.9,69.42,74.95
05081,30.37,32.22,34.07,34.56,35.05,49.97,64.89
05083,46.26,49.49,52.72,47.02,41.32,38.74,36.16
05085,40.94,41.64,42.34,43.95,45.56,45.0,44.43
