FIPS,2014 RPL_THEME2,2015 RPL_THEME2,2016 RPL_THEME2,2017 RPL_THEME2,2018 RPL_THEME2,2019 RPL_THEME2,2020 RPL_THEME2
01001,53.87,54.78,55.68,56.89,58.1,65.86,73.62
01003,28.11,24.34,20.57,20.24,19.9,23.57,27.24
01005,81.95,85.15,88.35,89.94,91.53,93.03,94.53
01007,29.48,19.85,10.22,11.12,12.03,33.58,55.12
01009,61.99,54.32,46.64,39.25,31.87,52.06,72.25
01011,78.26,75.46,72.65,58.52,44.38,54.76,65.15
01013,98.95,97.96,96.98,93.88,90.77,79.82,68.87
01015,71.06,74.91,78.76,80.9,83.03,77.91,72.79
01017,92.42,84.28,76.15,71.12,66.09,62.82,59.55
01019,79.24,77.09,74.94,59.93,44.92,42.94,40.96
01021,75.01,69.62,64.22,74.68,85.13,88.44,91.76
01023,94.49,90.99,87.49,89.16,90.83,87.79,84.75
01025,86.21,67.78,49.35,55.51,61.67,65.13,68.59
01027,93.44,90.36,87.27,77.0,66.73,67.05,67.38
01029,76.15,71.41,66.67,66.49,66.32,64.6,62.89
01031,83.0,84.04,85.07,82.87,80.67,85.61,90.55
01033,77.24,75.25,73.26,70.92,68.58,66.02,63.46
01035,94.27,95.1,95.92,96.52,97.13,83.02,68.91
01037,39.83,32.75,25.66,32.01,38.36,37.58,36.79
01039,92.1,88.63,85.16,87.98,90.8,79.25,67.7
01041,91.85,89.74,87.62,86.79,85.96,82.96,79.95
01043,54.22,45.18,36.13,40.29,44.44,54.89,65.34
01045,79.97,79.14,78.32,76.48,74.63,81.49,88.35
01047,98.79,97.31,95.83,95.3,94.78,88.27,81.76
01049,47.88,55.98,64.09,68.82,73.54,71.53,69.51
01051,40.11,46.98,53.84,54.03,54.22,48.46,42.71
01053,90.26,83.98,77.71,72.95,68.19,71.81,75.43
01055,81.25,79.02,76.79,76.33,75.87,79.16,82.46
01057,93.28,87.84,82.39,81.55,80.71,63.44,46.18
01059,93.7,92.28,90.86,78.54,66.22,75.43,84.63
01061,93.66,93.66,93.66,92.68,91.69,84.1,76.51
01063,98.25,98.66,99.08,98.12,97.17,74.54,51.91
01065,98.5,97.29,96.08,96.21,96.34,87.64,78.93
01067,71.86,68.9,65.93,64.83,63.74,52.24,40.74
01069,88.7,88.08,87.46,86.44,85.42,75.63,65.85
01071,61.57,55.88,50.18,53.27,56.35,58.65,60.95
01073,50.14,53.68,57.21,57.77,58.33,63.68,69.03
01075,95.19,92.23,89.27,80.7,72.14,69.22,66.3
01077,39.38,35.69,32.0,28.26,24.51,26.8,29.09
01079,66.57,58.96,51.35,51.6,51.86,46.12,40.39
01081,5.19,7.45,9.71,12.47,15.22,17.08,18.94
01083,18.53,21.97,25.41,27.7,29.99,35.9,41.82
01085,96.5,97.46,98.41,98.22,98.03,90.44,82.85
01087,65.33,60.6,55.87,56.79,57.72,45.24,32.75
01089,13.94,13.55,13.15,12.67,12.19,24.04,35.9
01091,98.34,98.54,98.73,89.6,80.48,82.38,84.28
01093,74.98,80.79,86.6,85.68,84.75,78.44,72.12
01095,88.44,87.6,86.76,81.79,76.82,83.44,90.07
01097,73.58,71.74,69.91,64.45,58.99,56.12,53.25
01099,83.54,64.18,44.83,47.7,50.56,43.57,36.57
01101,76.85,74.4,71.95,74.18,76.41,80.64,84.88
01103,64.76,69.52,74.28,70.65,67.02,72.61,78.2
01105,99.87,99.38,98.89,97.25,95.61,76.46,57.32
01107,96.85,89.02,81.18,72.49,63.8,78.67,93.54
01109,24.74,29.64,34.54,31.5,28.46,34.26,40.07
01111,87.49,79.28,71.06,59.6,48.14,47.46,46.79
01113,90.83,87.85,84.88,86.44,88.0,90.07,92.14
01115,41.52,34.92,28.33,29.61,30.88,25.34,19.8
01117,9.07,8.28,7.48,7.2,6.91,13.86,20.81
01119,80.1,72.45,64.79,61.54,58.29,60.46,62.64
01121,85.86,83.25,80.64,79.31,77.97,76.44,74.92
01123,85.07,87.06,89.05,88.76,88.48,88.96,89.43
01125,8.44,9.6,10.76,12.0,13.24,20.02,26.8
01127,91.02,90.37,89.72,83.93,78.13,77.96,77.78
01129,56.73,72.22,87.71,82.2,76.7,56.97,37.24
01131,92.39,83.65,74.91,76.87,78.83,87.18,95.54
01133,74.79,76.03,77.27,78.11,78.96,84.1,89.24
02013,3.79,3.88,3.98,4.22,4.46,10.2,15.95
02016,1.88,1.9,1.91,2.34,2.77,3.04,3.31
02020,29.39,28.18,26.97,26.27,25.57,31.12,36.66
02050,54.12,53.8,53.49,54.73,55.97,63.02,70.08
02060,56.03,41.28,26.52,22.22,17.92,9.18,0.45
02063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02068,0.29,0.18,0.06,0.19,0.32,0.4,0.48
02070,57.08,61.27,65.46,65.24,65.01,71.26,77.5
02090,12.67,11.86,11.05,14.94,18.82,20.28,21.74
02100,5.25,5.2,5.16,12.46,19.77,39.96,60.15
02105,9.61,14.06,18.5,19.94,21.39,12.94,4.49
02110,9.36,7.52,5.67,3.96,2.26,5.36,8.47
02122,24.2,25.35,26.49,26.1,25.72,21.9,18.08
02130,10.19,16.83,23.46,29.35,35.24,34.98,34.72
02150,58.61,54.25,49.89,53.09,56.29,52.0,47.71
