FIPS,2014 RPL_THEME1,2015 RPL_THEME1,2016 RPL_THEME1,2017 RPL_THEME1,2018 RPL_THEME1,2019 RPL_THEME1,2020 RPL_THEME1
01001,41.45,37.21,32.98,34.64,36.31,37.34,38.38
01003,33.72,31.26,28.81,25.57,22.32,27.42,32.53
01005,96.28,96.98,97.68,97.74,97.8,96.74,95.67
01007,82.01,77.97,73.93,75.44,76.94,78.51,80.08
01009,73.48,69.79,66.09,63.76,61.43,59.5,57.57
01011,95.8,96.96,98.12,97.92,97.71,84.77,71.83
01013,93.73,92.2,90.67,87.61,84.55,79.7,74.86
01015,84.21,83.0,81.79,80.22,78.66,76.99,75.33
01017,87.77,82.33,76.89,72.95,69.01,63.69,58.37
01019,74.88,67.48,60.08,64.44,68.79,59.54,50.29
01021,75.2,76.3,77.4,77.12,76.85,74.9,72.95
01023,88.32,89.15,89.97,90.27,90.57,79.12,67.66
01025,92.04,91.8,91.56,92.96,94.36,91.5,88.64
01027,85.55,79.15,72.75,77.18,81.62,70.09,58.56
01029,76.73,79.68,82.62,84.78,86.94,70.67,54.39
01031,54.95,52.84,50.72,52.22,53.73,57.07,60.41
01033,68.74,66.1,63.45,64.32,65.19,55.83,46.47
01035,98.85,98.12,97.39,96.34,95.29,83.9,72.5
01037,93.6,91.1,88.6,78.95,69.3,49.97,30.65
01039,79.18,80.66,82.14,82.23,82.32,78.73,75.14
01041,78.99,78.26,77.52,75.11,72.71,63.33,53.95
01043,68.99,67.28,65.58,67.26,68.95,63.61,58.27
01045,68.86,72.28,75.71,76.81,77.9,83.11,88.32
01047,97.45,97.24,97.04,96.86,96.69,96.64,96.59
01049,85.64,83.4,81.15,80.75,80.35,80.62,80.9
01051,41.23,46.12,51.0,50.06,49.11,41.52,33.93
01053,95.96,95.48,95.0,95.28,95.57,94.28,93.0
01055,77.81,76.95,76.09,73.89,71.69,71.06,70.43
01057,88.25,84.21,80.17,81.61,83.06,82.56,82.05
01059,88.6,90.84,93.09,90.11,87.13,78.76,70.4
01061,85.23,88.04,90.86,92.31,93.76,79.17,64.58
01063,99.24,99.19,99.14,99.36,99.59,99.22,98.85
01065,92.84,92.62,92.39,92.86,93.34,94.03,94.72
01067,67.3,66.33,65.36,67.54,69.71,65.09,60.47
01069,57.43,61.89,66.35,67.89,69.43,73.8,78.17
01071,81.06,81.22,81.38,80.32,79.27,74.36,69.45
01073,50.56,50.14,49.73,50.79,51.85,60.23,68.62
01075,84.59,87.5,90.42,88.84,87.26,66.05,44.84
01077,56.42,58.7,60.97,55.22,49.46,51.26,53.06
01079,77.4,78.0,78.61,76.17,73.73,64.89,56.05
01081,58.01,56.19,54.38,54.52,54.65,56.86,59.07
01083,47.34,50.82,54.31,56.22,58.12,49.43,40.74
01085,97.93,97.58,97.23,97.28,97.32,96.8,96.28
01087,94.4,94.42,94.43,94.68,94.94,93.06,91.18
01089,28.72,27.8,26.87,27.75,28.63,29.54,30.46
01091,76.38,83.27,90.16,88.29,86.43,84.54,82.65
01093,85.42,80.86,76.31,77.06,77.8,78.64,79.47
01095,78.51,77.74,76.98,75.63,74.27,69.58,64.89
01097,69.6,69.8,70.01,69.08,68.15,75.44,82.72
01099,97.33,96.68,96.02,95.76,95.51,93.0,90.48
